timestamp;container;name;cpu_percent;mem_percent;pids
1757356227;3674e0e9bbc7;docker-mongo-1;0.03;0.86;35
1757356230;e1a5aa3b168b;docker-django-1;0.06;1.25;9
1757356230;3674e0e9bbc7;docker-mongo-1;0.04;0.86;35
1757356234;e1a5aa3b168b;docker-django-1;0.05;1.25;9
1757356234;3674e0e9bbc7;docker-mongo-1;0.03;0.86;35
1757356237;e1a5aa3b168b;docker-django-1;0.07;1.25;9
1757356237;3674e0e9bbc7;docker-mongo-1;0.04;0.85;35
1757356240;e1a5aa3b168b;docker-django-1;0.06;1.25;9
1757356240;3674e0e9bbc7;docker-mongo-1;0.04;0.86;35
1757356242;e1a5aa3b168b;docker-django-1;0.06;1.24;9
1757356242;3674e0e9bbc7;docker-mongo-1;0.03;0.85;35
1757356245;e1a5aa3b168b;docker-django-1;0.06;1.25;9
1757356245;3674e0e9bbc7;docker-mongo-1;0.03;0.86;35
1757356249;e1a5aa3b168b;docker-django-1;0.06;1.24;9
1757356249;3674e0e9bbc7;docker-mongo-1;0.06;0.85;35
1757356252;e1a5aa3b168b;docker-django-1;0.05;1.24;9
1757356252;3674e0e9bbc7;docker-mongo-1;0.03;0.85;35
1757356256;e1a5aa3b168b;docker-django-1;0.06;1.24;9
1757356256;3674e0e9bbc7;docker-mongo-1;0.03;0.86;35
1757356260;e1a5aa3b168b;docker-django-1;0.07;1.25;9
1757356260;3674e0e9bbc7;docker-mongo-1;0.04;0.86;35
1757356263;e1a5aa3b168b;docker-django-1;0.05;1.25;9
1757356263;3674e0e9bbc7;docker-mongo-1;0.04;0.86;35
1757356267;e1a5aa3b168b;docker-django-1;0.06;1.25;9
1757356267;3674e0e9bbc7;docker-mongo-1;0.06;0.85;35
1757356270;e1a5aa3b168b;docker-django-1;0.06;1.24;9
1757356270;3674e0e9bbc7;docker-mongo-1;0.04;0.86;35
1757356273;e1a5aa3b168b;docker-django-1;0.09;1.25;9
1757356273;3674e0e9bbc7;docker-mongo-1;0.03;0.86;35
1757356277;e1a5aa3b168b;docker-django-1;0.05;1.25;9
1757356277;3674e0e9bbc7;docker-mongo-1;0.03;0.86;35
1757356281;e1a5aa3b168b;docker-django-1;0.06;1.24;9
1757356281;3674e0e9bbc7;docker-mongo-1;0.04;0.86;35
1757356284;e1a5aa3b168b;docker-django-1;0.07;1.25;9
1757356284;3674e0e9bbc7;docker-mongo-1;0.03;0.86;35
1757356287;e1a5aa3b168b;docker-django-1;0.06;1.24;9
1757356287;3674e0e9bbc7;docker-mongo-1;0.04;0.86;35
1757356290;e1a5aa3b168b;docker-django-1;0.06;1.24;9
1757356290;3674e0e9bbc7;docker-mongo-1;0.05;0.86;35
1757356293;e1a5aa3b168b;docker-django-1;0.05;1.25;9
1757356293;3674e0e9bbc7;docker-mongo-1;0.04;0.86;35
1757356297;e1a5aa3b168b;docker-django-1;0.05;1.25;9
1757356297;3674e0e9bbc7;docker-mongo-1;0.03;0.86;35
1757356301;e1a5aa3b168b;docker-django-1;0.06;1.25;9
1757356301;3674e0e9bbc7;docker-mongo-1;0.03;0.86;35
1757356304;e1a5aa3b168b;docker-django-1;0.09;1.25;9
1757356304;3674e0e9bbc7;docker-mongo-1;0.03;0.86;35
1757356307;e1a5aa3b168b;docker-django-1;0.06;1.25;9
1757356307;3674e0e9bbc7;docker-mongo-1;0.04;0.86;35
1757356311;e1a5aa3b168b;docker-django-1;0.05;1.25;9
1757356311;3674e0e9bbc7;docker-mongo-1;0.03;0.86;35
1757356314;e1a5aa3b168b;docker-django-1;0.07;1.25;9
1757356314;3674e0e9bbc7;docker-mongo-1;0.03;0.85;35
1757356317;e1a5aa3b168b;docker-django-1;0.06;1.25;9
